iter	Passed	Remaining
0	132	132728
1	134	67032
2	136	45204
3	137	34213
4	138	27626
5	140	23250
6	141	20100
7	143	17750
8	144	15894
9	145	14432
10	147	13231
11	148	12230
12	150	11388
13	151	10665
14	152	10039
15	154	9499
16	156	9026
17	157	8590
18	159	8211
19	160	7864
20	161	7547
21	163	7256
22	164	6988
23	165	6737
24	166	6511
25	168	6304
26	169	6119
27	171	5946
28	178	5971
29	179	5817
30	181	5663
31	182	5516
32	183	5386
33	185	5261
34	186	5140
35	188	5037
36	189	4929
37	190	4826
38	191	4729
39	193	4638
40	194	4547
41	195	4462
42	196	4381
43	198	4303
44	199	4228
45	200	4158
46	201	4092
47	203	4027
48	204	3964
49	205	3910
50	207	3854
51	208	3798
52	209	3746
53	210	3695
54	212	3645
55	213	3598
56	214	3553
57	216	3509
58	217	3465
59	218	3423
60	219	3383
61	221	3343
62	222	3306
63	223	3270
64	224	3235
65	226	3200
66	227	3166
67	228	3128
68	229	3098
69	230	3067
70	232	3036
71	233	3007
72	234	2978
73	235	2949
74	236	2922
75	238	2896
76	239	2869
77	240	2845
78	242	2823
79	243	2804
80	245	2783
81	246	2761
82	247	2738
83	249	2718
84	250	2692
85	251	2672
86	252	2648
87	253	2630
88	255	2611
89	256	2593
90	257	2576
91	259	2558
92	260	2541
93	262	2526
94	263	2509
95	264	2493
96	266	2478
97	267	2463
98	269	2450
99	270	2436
100	272	2421
101	272	2402
102	274	2388
103	275	2374
104	276	2359
105	278	2345
106	279	2331
107	280	2317
108	281	2304
109	283	2293
110	284	2281
111	286	2269
112	287	2256
113	288	2244
114	289	2230
115	291	2218
116	292	2207
117	294	2198
118	295	2185
119	296	2175
120	298	2165
121	299	2154
122	300	2139
123	301	2129
124	302	2119
125	304	2109
126	305	2099
127	306	2087
128	307	2078
129	309	2069
130	310	2060
131	311	2050
132	313	2041
133	314	2032
134	316	2026
135	317	2018
136	319	2010
137	320	2001
138	321	1994
139	323	1987
140	325	1980
141	326	1972
142	327	1965
143	329	1957
144	330	1950
145	332	1943
146	333	1936
